age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio
40,1,14.1,77335,679,4.4,67,17026,0,0,0,2,2,26200,12.04,0.22,0.339,0.113
18,0,0.0,34946,639,1.2,292,2620,0,1,0,2,2,37400,14.95,0.075,1.07,0.357
29,0,9.4,26778,595,5.5,191,4702,1,1,0,2,5,52300,15.51,0.176,1.953,0.651
27,2,1.5,25624,590,5.7,414,2609,0,0,0,2,1,4800,15.91,0.102,0.187,0.062
18,0,0.0,25676,568,1.8,19,3453,1,1,1,2,4,24700,15.47,0.134,0.962,0.321
48,0,26.4,23822,718,19.4,137,1947,0,0,0,0,0,15300,16.93,0.082,0.642,0.214
27,0,1.7,37261,706,1.1,37,9313,0,0,0,2,4,7900,10.49,0.25,0.212,0.071
37,1,10.9,52134,781,0.1,29,8311,0,0,0,1,2,13600,6.83,0.159,0.261,0.087
33,1,5.6,170985,702,8.9,84837,63065,0,1,0,2,0,100000,9.93,0.369,0.585,0.195
18,2,1.3,20418,637,0.3,1,2522,0,1,0,0,4,2000,20.5,0.124,0.098,0.033
41,0,9.8,60792,567,8.8,4386,30262,0,1,1,0,2,31600,22.64,0.498,0.52,0.173
19,0,0.8,30366,674,2.0,125,15463,0,0,0,0,0,33300,17.16,0.509,1.097,0.366
52,1,24.7,149445,637,21.1,4029,50997,0,2,0,2,2,4400,13.43,0.341,0.029,0.01
44,1,6.3,33842,713,7.3,130,4154,1,1,0,2,2,14700,11.28,0.123,0.434,0.145
46,0,17.3,73979,676,5.9,2273,5055,0,0,0,2,0,100000,11.47,0.068,1.352,0.451
40,0,15.9,59866,587,17.5,3327,17365,0,2,0,1,0,21000,13.44,0.29,0.351,0.117
43,0,16.0,39049,668,7.4,107,16198,0,0,0,0,2,26300,17.93,0.415,0.674,0.225
49,0,3.4,76641,760,1.4,1116,6230,0,0,0,0,5,38300,14.73,0.081,0.5,0.167
46,0,10.4,59810,631,25.8,4508,10813,0,0,0,2,2,100000,13.7,0.181,1.672,0.557
42,0,5.0,34198,655,13.2,5256,10241,0,0,0,2,2,4000,12.45,0.299,0.117,0.039
27,0,5.3,29432,696,7.9,1052,12556,0,0,0,2,1,39000,11.66,0.427,1.325,0.442
29,0,8.3,50564,697,2.7,1093,7728,0,0,0,2,4,26200,12.76,0.153,0.518,0.173
49,0,11.7,60333,658,10.6,2847,36832,0,0,0,2,2,100000,12.93,0.61,1.657,0.552
18,2,0.4,21754,602,2.0,159,1538,0,0,0,0,4,2200,20.39,0.071,0.101,0.034
51,0,16.0,48303,636,15.6,5332,13453,1,0,0,0,4,44800,19.26,0.279,0.927,0.309
18,0,0.0,52838,579,1.7,32,7737,0,2,0,0,0,14600,21.78,0.146,0.276,0.092
20,0,1.8,18250,647,0.4,276,6023,0,0,0,1,2,5000,11.26,0.33,0.274,0.091
18,0,0.0,24387,792,0.2,4,3380,0,0,0,0,5,8200,14.47,0.139,0.336,0.112
31,0,5.0,22384,639,2.9,60,3128,0,0,0,2,3,4300,13.87,0.14,0.192,0.064
44,1,4.7,54627,735,2.9,45,41244,0,0,0,0,0,21500,15.78,0.755,0.394,0.131
44,1,17.7,97967,642,15.1,2929,16547,0,1,0,2,3,84600,14.81,0.169,0.864,0.288
31,2,0.3,55523,626,3.4,821,37360,0,2,0,0,4,5600,19.73,0.673,0.101,0.034
45,0,5.5,48885,665,10.8,83,23133,0,1,1,2,1,88000,11.18,0.473,1.8,0.6
18,0,0.0,39421,662,0.0,0,23058,0,0,0,1,2,10400,9.48,0.585,0.264,0.088
37,1,2.0,74433,695,8.1,1157,26492,0,0,0,0,3,70000,17.05,0.356,0.94,0.313
44,2,1.5,27867,757,23.3,154,6469,0,0,1,2,0,12100,8.05,0.232,0.434,0.145
31,0,11.3,20620,555,11.2,774,2986,0,0,1,0,5,6600,22.71,0.145,0.32,0.107
29,1,6.4,32849,637,5.3,104,19680,0,0,0,1,3,8800,12.42,0.599,0.268,0.089
39,0,6.8,150961,727,18.1,441,30296,0,1,0,2,3,100000,10.29,0.201,0.662,0.221
30,0,0.6,26802,618,7.6,61,1248,0,1,0,0,3,35900,19.57,0.047,1.339,0.446
40,0,7.7,55449,716,21.1,625,12360,0,1,0,2,4,36500,10.61,0.223,0.658,0.219
33,1,10.5,22200,671,5.6,3652,835,0,0,0,0,4,12800,18.24,0.038,0.577,0.192
53,0,34.1,76579,687,21.3,5669,44615,0,0,0,2,1,100000,11.47,0.583,1.306,0.435
31,0,12.6,16346,630,12.6,160,6340,0,1,1,0,2,19300,20.23,0.388,1.181,0.394
64,1,26.7,58510,681,29.5,3213,14733,0,0,0,1,0,50000,10.96,0.252,0.855,0.285
55,1,26.9,61384,693,7.3,235,32971,0,0,0,0,2,23000,18.01,0.537,0.375,0.125
47,0,8.5,166245,582,20.0,476,53195,0,0,0,0,3,70000,21.62,0.32,0.421,0.14
48,0,23.3,48358,642,19.4,10970,12794,0,0,0,0,5,40400,19.64,0.265,0.835,0.278
42,0,1.1,40587,669,8.3,3553,15117,0,1,0,1,1,30400,9.48,0.372,0.749,0.25
48,0,28.9,53831,699,8.9,3790,23490,0,0,0,0,0,59400,18.18,0.436,1.103,0.368
36,0,6.4,72940,674,9.7,6483,15250,0,0,0,0,4,48700,18.45,0.209,0.668,0.223
18,2,1.2,58518,628,0.5,23,33477,0,0,0,2,3,64200,13.24,0.572,1.097,0.366
21,0,2.3,26456,581,0.2,2,4215,0,2,0,2,4,35100,15.01,0.159,1.327,0.442
39,0,7.6,71960,600,14.8,2984,10608,0,0,0,2,5,100000,13.18,0.147,1.39,0.463
39,0,13.3,31918,665,13.4,2533,4714,0,0,0,0,2,3200,17.11,0.148,0.1,0.033
18,2,0.1,15000,719,0.9,27,7880,0,0,0,0,5,1500,17.06,0.525,0.1,0.033
27,2,1.9,39148,647,8.0,255,1341,0,0,0,0,2,3900,19.89,0.034,0.1,0.033
23,0,1.1,30335,636,3.9,70,18107,1,2,0,0,5,19700,19.82,0.597,0.649,0.216
44,0,12.0,69259,645,23.0,3075,15349,0,0,0,1,3,15700,11.05,0.222,0.227,0.076
32,0,7.8,53324,501,8.6,5930,13494,0,0,0,1,4,27500,14.59,0.253,0.516,0.172
37,2,0.2,26408,645,16.5,4736,6224,0,1,0,2,2,41100,14.64,0.236,1.556,0.519
24,0,3.2,35954,587,4.6,4263,11451,0,1,1,0,2,25400,22.33,0.318,0.706,0.235
39,0,5.6,68108,605,2.7,5461,22562,0,0,0,2,4,38900,13.38,0.331,0.571,0.19
41,0,18.3,77604,714,11.7,13730,19714,0,0,0,1,0,28400,9.48,0.254,0.366,0.122
40,0,5.5,80342,634,18.7,856,20083,0,4,0,1,1,50000,12.59,0.25,0.622,0.207
37,0,17.1,46207,574,18.4,3355,12948,1,2,1,2,3,31600,15.27,0.28,0.684,0.228
36,0,12.1,111729,665,13.7,25127,22761,0,1,0,0,3,36800,18.16,0.204,0.329,0.11
24,0,3.9,47593,542,5.4,278,4169,0,1,1,1,4,20300,14.8,0.088,0.427,0.142
41,0,13.9,78022,787,14.4,1831,21050,0,0,0,0,3,1400,14.07,0.27,0.018,0.006
18,0,0.0,48357,512,1.4,774,17488,0,0,0,2,0,59500,15.04,0.362,1.23,0.41
18,0,0.0,60954,594,1.8,35,11296,0,0,0,2,5,26300,16.4,0.185,0.431,0.144
38,0,13.4,82432,709,14.4,1731,20571,1,1,0,2,3,10200,10.7,0.25,0.124,0.041
18,0,0.0,24575,544,0.8,20,8408,0,2,1,0,0,21000,22.88,0.342,0.855,0.285
